Region,TEMP_C,Year
North America,10.415769055189877,2002
Oceania,19.200278981606136,2002
Other,0.6965008517355087,2002
South Asia,23.6168658947048,2002
Southeast Asia,26.243257339369563,2002
Sub-Saharan Africa,21.900618198353516,2002
Central Asia & Mongolia,6.9527075944784915,2004
East Asia & China,12.32174460350104,2004
Europe & Russia,8.535665091419588,2004
Latin America & Caribbean,21.423236581544476,2004
MENA,22.961116921378537,2004
North America,10.20012324577207,2004
Oceania,19.192489785360404,2004
Other,0.853844170817754,2004
South Asia,23.73774635047441,2004
Southeast Asia,26.16041429834533,2004
Sub-Saharan Africa,21.895976722869875,2004
Central Asia & Mongolia,6.944486659021138,2006
East Asia & China,11.963606546178287,2006
Europe & Russia,8.836546791671777,2006
Latin America & Caribbean,21.642216954815904,2006
MENA,23.012487751330532,2006
North America,10.775264700724515,2006
Oceania,19.03851167811081,2006
Other,1.1099800205946218,2006
South Asia,23.551370164772226,2006
Southeast Asia,26.325899096274767,2006
Sub-Saharan Africa,21.27247315859155,2006
Central Asia & Mongolia,7.235548274117778,2008
East Asia & China,11.873761554664648,2008
Europe & Russia,8.95162932511209,2008
Latin America & Caribbean,22.06800270382376,2008
MENA,22.806107395066984,2008
North America,9.937188938560995,2008
Oceania,18.90574111679076,2008
Other,0.2655050830327334,2008
South Asia,22.83721198488912,2008
Southeast Asia,25.95657973979749,2008
Sub-Saharan Africa,21.169913805783544,2008
Central Asia & Mongolia,6.231905279234172,2012
East Asia & China,11.162145956586361,2012
Europe & Russia,7.676529735062081,2012
Latin America & Caribbean,22.260360121008596,2012
MENA,23.37951327063264,2012
North America,11.53689396036609,2012
Oceania,18.80856871971067,2012
Other,1.8889341242265965,2012
South Asia,23.026220686172394,2012
Southeast Asia,26.416663614797095,2012
Sub-Saharan Africa,21.687884869986384,2012
Central Asia & Mongolia,6.030433725248104,2014
East Asia & China,11.922505304981742,2014
Europe & Russia,8.352669150919125,2014
Latin America & Caribbean,22.249896896354496,2014
MENA,23.353435538707217,2014
North America,10.310605113399562,2014
Oceania,19.395432854656868,2014
Other,3.6211089687866065,2014
South Asia,24.052821730577826,2014
Southeast Asia,26.395589398517643,2014
Sub-Saharan Africa,21.05328475281537,2014
Central Asia & Mongolia,6.751257907109538,2016
East Asia & China,12.142684175463542,2016
Europe & Russia,7.81287218095512,2016
Latin America & Caribbean,22.625866770740522,2016
MENA,23.567437549764332,2016
North America,11.247717954207339,2016
Oceania,19.6420588802012,2016
Other,3.020549729203799,2016
South Asia,24.952691081564417,2016
Southeast Asia,26.756273906431822,2016
Sub-Saharan Africa,21.909140421056584,2016
Central Asia & Mongolia,6.6534690622120936,2018
East Asia & China,12.17127744909457,2018
Europe & Russia,8.175488258040325,2018
Latin America & Caribbean,22.719161730544208,2018
MENA,23.612833483017255,2018
North America,10.753836017624682,2018
Oceania,19.48595236513665,2018
Other,3.0701879121226905,2018
South Asia,24.788557613767782,2018
Southeast Asia,26.42772301427268,2018
Sub-Saharan Africa,21.86282832241479,2018
Central Asia & Mongolia,7.259491182638301,2022
East Asia & China,12.427540090258825,2022
Europe & Russia,8.620557984062895,2022
Latin America & Caribbean,22.02731068184462,2022
MENA,23.544362087544467,2022
North America,10.722542534556588,2022
Oceania,19.020741988982167,2022
Other,3.8129688466806178,2022
South Asia,24.68914746992545,2022
Southeast Asia,26.345135895770603,2022
Sub-Saharan Africa,21.73856185242988,2022
Central Asia & Mongolia,7.950024543974493,2024
East Asia & China,13.229735231788396,2024
Europe & Russia,9.198759150857764,2024
Latin America & Caribbean,22.760822238813695,2024
MENA,23.912616205602298,2024
North America,12.065927046938265,2024
Oceania,19.52952327276688,2024
Other,3.8812380395266914,2024
South Asia,25.498548678603978,2024
Southeast Asia,27.15189318591379,2024
Sub-Saharan Africa,22.28348691785153,2024
